dep_utc,arr_utc,TOF_days,C3_short,vinfD_short_kms,vinfA_short_kms,DVtot_short_kms
2035-10-19T00:00:00,2036-06-30T00:00:00,255.000000020318,141.8243778975525,11.909004068248214,5.831576747526937,17.74058081577515
2035-10-22T00:00:00,2036-06-30T00:00:00,252.00000002006965,153.74882905509455,12.399549550491523,6.0370810862061495,18.43663063669767
2035-10-25T00:00:00,2036-06-30T00:00:00,249.0000000197744,166.49900888456568,12.9034494955638,6.252729007274311,19.15617850283811
2035-10-28T00:00:00,2036-06-30T00:00:00,246.00000001942945,180.11307247063195,13.420621165603027,6.478575557201319,19.899196722804348
2035-10-31T00:00:00,2036-06-30T00:00:00,243.0000000190376,194.63064034871803,13.951008578189537,6.714695344678816,20.665703922868353
2035-11-03T00:00:00,2036-06-30T00:00:00,240.0000000185961,210.09267409212532,14.494573953453248,6.961178108768253,21.4557520622215
2035-11-06T00:00:00,2036-06-30T00:00:00,237.00000001811043,226.5413821651672,15.051291710852169,7.218125434119269,22.269417144971438
2035-11-09T00:00:00,2036-06-30T00:00:00,234.00000001757786,244.02013820777665,15.621143946836181,7.485648331509157,23.10679227834534
2035-11-12T00:00:00,2036-06-30T00:00:00,231.00000001700388,262.57339406516905,16.204116577745577,7.763865482401362,23.967982060146937
2035-11-15T00:00:00,2036-06-30T00:00:00,228.00000001638577,282.2465845545238,16.80019596774168,8.052902000237392,24.85309796797907
2035-11-18T00:00:00,2036-06-30T00:00:00,225.000000015729,303.0860358735274,17.40936632601909,8.352888604670204,25.762254930689295
2035-11-21T00:00:00,2036-06-30T00:00:00,222.00000001503085,325.13889830996817,18.03160831179427,8.663961144128901,26.69556945592317
2035-11-24T00:00:00,2036-06-30T00:00:00,219.00000001429683,348.4530976781973,18.666898448274615,8.98626043299346,27.653158881268077
2035-11-27T00:00:00,2036-06-30T00:00:00,216.00000001352694,373.0772717676705,19.31520830246649,9.319932375767861,28.63514067823435
2035-11-30T00:00:00,2036-06-30T00:00:00,213.00000001272394,399.06069529213215,19.976503580259788,9.665128346384016,29.641631926643804
2035-12-03T00:00:00,2036-06-30T00:00:00,210.00000001189332,426.4532265263742,20.65074397028771,10.022005804628426,30.672749774916134
2035-12-06T00:00:00,2036-06-30T00:00:00,207.00000001103237,455.30528778574325,21.33788386381703,10.390729151167884,31.728613014984916
2035-12-09T00:00:00,2036-06-30T00:00:00,204.00000001014382,485.6678665196755,22.037873457293365,10.771470829505946,32.80934428679931
2035-12-12T00:00:00,2036-06-30T00:00:00,201.0000000092332,517.5925209232638,22.75065979094373,11.164412679712306,33.915072470656035
2035-12-15T00:00:00,2036-06-30T00:00:00,198.0000000083005,551.1313876602421,23.476187673049516,11.569747544510658,35.04593521756017
2035-12-18T00:00:00,2036-06-30T00:00:00,195.0000000073485,586.3372142264731,24.214400967739696,11.987681129594415,36.20208209733411
2035-12-21T00:00:00,2036-06-30T00:00:00,192.00000000638266,623.2634538951683,24.96524491959108,12.41843413207236,37.383679051663435
2035-12-24T00:00:00,2036-06-30T00:00:00,189.0000000054003,661.9644106206161,25.728669040986478,12.862244665027005,38.59091370601348
2035-12-27T00:00:00,2036-06-30T00:00:00,186.00000000440963,702.4953902863475,26.50462960100268,13.319370999360693,39.82400060036338
2035-12-30T00:00:00,2036-06-30T00:00:00,183.00000000341072,744.912875176462,27.29309207796841,13.790094633077787,41.083186711046196
2035-01-01T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-04T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-07T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-10T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-13T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-16T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-19T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-22T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-25T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-28T00:00:00,2036-07-03T00:00:00,,,,,
2035-01-31T00:00:00,2036-07-03T00:00:00,518.9999999919561,1839.8415979140273,42.89337475547975,29.119487108652965,72.01286186413272
2035-02-03T00:00:00,2036-07-03T00:00:00,515.9999999910731,1886.1713481972567,43.43007423660771,29.461375829807462,72.89145006641517
2035-02-06T00:00:00,2036-07-03T00:00:00,512.9999999902177,1932.6526691107822,43.96194569296021,29.801922279289595,73.7638679722498
2035-02-09T00:00:00,2036-07-03T00:00:00,509.99999998938983,1979.2471749560689,44.488730875987784,30.14092394738228,74.62965482337006
2035-02-12T00:00:00,2036-07-03T00:00:00,506.9999999885923,2025.916222263712,45.01017909610794,30.478179879785348,75.48835897589329
2035-02-15T00:00:00,2036-07-03T00:00:00,503.99999998783073,1972.0715610629413,44.40801235208508,29.321578660483826,73.7295910125689
2035-02-18T00:00:00,2036-07-03T00:00:00,500.9999999871022,1763.254523227446,41.991124338691456,27.714679763195356,69.70580410188681
2035-02-21T00:00:00,2036-07-03T00:00:00,497.9999999864124,1563.545493379945,39.541693102090925,26.084627548214062,65.62632065030499
2035-02-24T00:00:00,2036-07-03T00:00:00,494.9999999857611,1377.564447157107,37.115555325996496,24.46823249511481,61.5837878211113
